sep=,
PATCH,	BLUE,	RED,	WINNER,	BB1,	RB1,	BB2,	RB2,	BB3,	RB3,	BP1,	RP1,	RP2,	BP2,	BP3,	RP3,	RB4,	BB4,	RB5,	BB5,	RP4,	BP4,	BP5,	RP5
8_16,	FOX,	TSM,	RED,	AKALI,	VARUS,	OLAF,	RAKAN,	BRAUM,	SYNDRA,	RYZE,	KAISA, SEJUANI,	TAHM KENCH, DRAVEN,	IRELIA,	TRUNDLE,	GRAGAS,	CAMILLE,	RUMBLE,	SHEN,	POPPY, CHOGATH,	GNAR,
8_16,	FOX,	TSM,	BLUE,	AKALI,	VARUS,	OLAF,	RAKAN,	BRAUM,	TAHM KENCH,	RYZE,	TRUNDLE, KAISA,	DRAVEN, ALISTAR,	SYNDRA,	GANGPLANK,	MORGANA,	RUMBLE,	GNAR,	SHEN,	CHOGATH, KINDRED,	KENNEN,
8_16,	FOX,	TSM,	BLUE,	AKALI,	VARUS,	OLAF,	RAKAN,	EZREAL,	RYZE,	BRAUM,	SWAIN, TRUNDLE,	KINDRED, KAISA,	PYKE,	ZILEAN,	YASUO,	SYNDRA,	LEBLANC,	AZIR,	RUMBLE, AHRI,	GNAR,
8_16,	FOX,	TSM,	RED,	AKALI,	VARUS,	OLAF,	RAKAN,	EZREAL,	BRAUM,	RYZE,	SEJUANI, IRELIA,	TAHM KENCH, TRUNDLE,	KAISA,	DRAVEN,	SHEN,	CHOGATH,	ALISTAR,	RUMBLE,	ASHE, LUCIAN,	NAMI,
8_16,	FOX,	TSM,	RED,	AKALI,	VARUS,	OLAF,	BRAUM,	IRELIA,	RYZE,	KINDRED,	SEJUANI, EZREAL,	XAYAH, RAKAN,	LEONA,	RUMBLE,	FIZZ,	CHOGATH,	GANGPLANK,	LEBLANC,	GALIO, KENNEN,	JAYCE,
8_16,	100,	FLY,	BLUE,	TAHM KENCH,	KINDRED,	VARUS,	GANGPLANK,	RUMBLE,	RAKAN,	BRAUM,	KAISA, NOCTURNE,	TRISTANA, RYZE,	ALISTAR,	TRUNDLE,	CASSIOPEIA,	GRAVES,	GNAR,	CHOGATH,	ORNN, SEJUANI,	TALIYAH,
8_16,	100,	FLY,	BLUE,	VARUS,	KINDRED,	TAHM KENCH,	GANGPLANK,	RUMBLE,	RAKAN,	BRAUM,	NOCTURNE, KAISA,	TRISTANA, RYZE,	ALISTAR,	TRUNDLE,	CASSIOPEIA,	GRAVES,	AZIR,	CHOGATH,	ORNN, SEJUANI,	TALIYAH,
8_16,	100,	FLY,	BLUE,	VARUS,	KINDRED,	TAHM KENCH,	GANGPLANK,	RUMBLE,	BRAUM,	RAKAN,	RYZE, SHEN,	XAYAH, SEJUANI,	TRUNDLE,	ZOE,	GNAR,	ORNN,	KAISA,	EZREAL,	CHOGATH, CASSIOPEIA,	CAMILLE,
8_16,	C9,	TSM,	RED,	TRUNDLE,	KINDRED,	OLAF,	GANGPLANK,	SEJUANI,	RAKAN,	BRAUM,	AKALI, SHEN,	QUINN, ZILEAN,	KAISA,	HECARIM,	LEBLANC,	CAMILLE,	DR. MUNDO,	GRAGAS,	NOCTURNE, ORNN,	SION,
8_16,	C9,	TSM,	BLUE,	TRUNDLE,	KINDRED,	OLAF,	GANGPLANK,	SEJUANI,	RAKAN,	BRAUM,	KAISA, SHEN,	VARUS, CAMILLE,	AKALI,	GALIO,	GRAGAS,	LULU,	DR. MUNDO,	POPPY,	ZILEAN, ORNN,	SION,
8_16,	TSM,	C9,	BLUE,	KINDRED,	BRAUM,	ZILEAN,	AKALI,	TAHM KENCH,	OLAF,	SHEN,	LEONA, CAMILLE,	SEJUANI, GANGPLANK,	QUINN,	KAISA,	LEBLANC,	EZREAL,	RYZE,	ORNN,	SWAIN, IRELIA,	GALIO,
8_16,	C9,	TSM,	BLUE,	OLAF,	KINDRED,	SHEN,	BRAUM,	AKALI,	GANGPLANK,	VARUS,	TAHM KENCH, RYZE,	ZILEAN, MALZAHAR,	JHIN,	HECARIM,	DR. MUNDO,	LEE SIN,	SEJUANI,	TRUNDLE,	GRAVES, ORNN,	GNAR,
8_16,	C9,	TSM,	BLUE,	OLAF,	KINDRED,	SHEN,	BRAUM,	AKALI,	VARUS,	KAISA,	SWAIN, SEJUANI,	GRAVES, LEONA,	IRELIA,	LEBLANC,	GANGPLANK,	GALIO,	DR. MUNDO,	ORNN,	POPPY, MALZAHAR,	GRAGAS,
8_16,	100,	TL,	BLUE,	OLAF,	RYZE,	SHEN,	RAKAN,	AKALI,	VARUS,	KINDRED,	BRAUM, SEJUANI,	ALISTAR, GANGPLANK,	KAISA,	TRISTANA,	AZIR,	SWAIN,	CHOGATH,	ORNN,	MALZAHAR, JHIN,	ZILEAN,
8_16,	100,	TL,	RED,	OLAF,	RYZE,	SHEN,	KINDRED,	AKALI,	VARUS,	RAKAN,	GANGPLANK, TAHM KENCH,	GNAR, XAYAH,	JHIN,	GALIO,	MALZAHAR,	TRUNDLE,	SEJUANI,	GRAGAS,	LEBLANC, POPPY,	SYNDRA,
8_16,	TL,	100,	BLUE,	AKALI,	KINDRED,	GANGPLANK,	RAKAN,	OLAF,	KAISA,	VARUS,	BRAUM, MISS FORTUNE,	SEJUANI, RYZE,	CASSIOPEIA,	TAHM KENCH,	TRUNDLE,	ALISTAR,	GNAR,	SKARNER,	THRESH, ORNN,	DR. MUNDO,
8_16,	TL,	100,	BLUE,	AKALI,	VARUS,	GANGPLANK,	RAKAN,	KINDRED,	OLAF,	RYZE,	BRAUM, SEJUANI,	TRUNDLE, THRESH,	MALZAHAR,	JHIN,	CAMILLE,	ORNN,	GNAR,	CHOGATH,	ASHE, SHEN,	KAISA,
8_16,	100,	TSM,	BLUE,	AKALI,	KINDRED,	SHEN,	RAKAN,	VARUS,	BRAUM,	OLAF,	KAISA, GRAGAS,	ALISTAR, GANGPLANK,	RYZE,	TRISTANA,	IRELIA,	LEBLANC,	SEJUANI,	TRUNDLE,	SYNDRA, JHIN,	ZILEAN,
8_16,	TSM,	100,	BLUE,	RAKAN,	AKALI,	KINDRED,	VARUS,	GANGPLANK,	OLAF,	KAISA,	ALISTAR, TRISTANA,	BRAUM, SION,	TRUNDLE,	SEJUANI,	SYNDRA,	IRELIA,	LEBLANC,	RYZE,	VELKOZ, GRAGAS,	SHEN,
